,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
558,90.0,344.2005818019836,1.5,0.2968798007827563,89.92326836422632,10,0.270745762854196,68.9774537236129,1.0,0.37363775334758903,144.79143869188255,1.5,0.3991603247457853,101.12054714664035,10,0.1384263029375761,1.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,9.0,0.0,3.0,5.0,4.0,6.0,6.0,4.0,5.0,10.0,3.0,7.0,8,scenario option 68,dikesnet
559,96.0,173.04409241940965,10,0.43366482959563973,124.94281519285032,1.0,0.7501254020474422,47.61656403960108,1.5,0.6681068515859431,304.15136670310073,1.5,0.9644891724316426,283.6061228173564,1.0,0.6586821919813266,2.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,9.0,0.0,3.0,5.0,4.0,6.0,6.0,4.0,5.0,10.0,3.0,7.0,9,scenario option 68,dikesnet
560,118.0,240.18983859440863,1.5,0.13626224090192765,339.91676988773764,10,0.8387535221750341,235.41177132428086,10,0.15971465006443422,171.59751647501477,1.5,0.6099163017566495,238.37921205326637,1.0,0.043854997674478396,4.5,4.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,5.0,2.0,7.0,2.0,0.0,0,scenario option 69,dikesnet
561,58.0,133.23252102633828,1.0,0.9440689340190389,54.57903688402351,10,0.07083064837904517,167.6503820163759,1.5,0.7092329329046623,111.14704971089569,1.0,0.8992185413882817,202.90360364542846,1.5,0.40319488757693356,4.5,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,5.0,2.0,7.0,2.0,0.0,1,scenario option 69,dikesnet
562,48.0,218.7623381803774,1.0,0.6522158982303098,269.297375617185,1.5,0.18928306057757624,326.21503584870845,1.5,0.41508738795464,330.53120656744363,10,0.759156046892157,162.82182736289883,10,0.7244964804922107,3.5,1.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,5.0,2.0,7.0,2.0,0.0,2,scenario option 69,dikesnet
563,26.0,95.85474637274275,1.0,0.8781135699489123,307.2708521705558,1.0,0.5923496540804559,263.5705054061035,1.0,0.9027403787596238,251.17820965934416,1.0,0.48897533329785664,93.37925573655819,1.0,0.5010505926515456,4.5,4.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,5.0,2.0,7.0,2.0,0.0,3,scenario option 69,dikesnet
564,127.0,308.54461194621825,10,0.5886201767936989,138.150197413262,10,0.49510150210955484,288.20443557302457,10,0.297422864628657,270.2737720965039,1.0,0.5920029140494785,323.1713280388075,1.5,0.30263440389642937,3.5,2.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,5.0,2.0,7.0,2.0,0.0,4,scenario option 69,dikesnet
565,1.0,280.97083432073185,1.0,0.7029628392119958,180.9845865026707,1.0,0.9320940856876896,208.89398369992645,1.0,0.5277511969382651,213.36096880444506,10,0.20479983255295642,39.33040491396355,10,0.9873860745984976,2.5,3.5,4.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,5.0,2.0,7.0,2.0,0.0,5,scenario option 69,dikesnet
566,71.0,80.86960220403219,10,0.3416151317310147,201.67096100507797,1.5,0.6712917789446664,142.54980570548514,1.0,0.8069024932521276,49.66073405964575,1.5,0.019106104197081964,308.7442928195328,1.0,0.24502874549709028,2.5,2.5,2.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,5.0,2.0,7.0,2.0,0.0,6,scenario option 69,dikesnet
567,27.0,42.45550964650279,1.5,0.05848968052978594,230.96493964175906,1.0,0.380375200776656,121.05763339630161,10,0.011512518421999763,77.58197936309966,10,0.10589221892431849,148.63262944624358,1.5,0.887732766658577,1.5,1.5,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,5.0,2.0,7.0,2.0,0.0,7,scenario option 69,dikesnet
568,90.0,344.2005818019836,1.5,0.2968798007827563,89.92326836422632,10,0.270745762854196,68.9774537236129,1.0,0.37363775334758903,144.79143869188255,1.5,0.3991603247457853,101.12054714664035,10,0.1384263029375761,1.5,3.5,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,5.0,2.0,7.0,2.0,0.0,8,scenario option 69,dikesnet
569,96.0,173.04409241940965,10,0.43366482959563973,124.94281519285032,1.0,0.7501254020474422,47.61656403960108,1.5,0.6681068515859431,304.15136670310073,1.5,0.9644891724316426,283.6061228173564,1.0,0.6586821919813266,2.5,4.5,4.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,5.0,2.0,7.0,2.0,0.0,9,scenario option 69,dikesnet
570,118.0,240.18983859440863,1.5,0.13626224090192765,339.91676988773764,10,0.8387535221750341,235.41177132428086,10,0.15971465006443422,171.59751647501477,1.5,0.6099163017566495,238.37921205326637,1.0,0.043854997674478396,4.5,4.5,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,4.0,0.0,3.0,1.0,3.0,0.0,6.0,0.0,2.0,9.0,2.0,0.0,0,scenario option 70,dikesnet
571,58.0,133.23252102633828,1.0,0.9440689340190389,54.57903688402351,10,0.07083064837904517,167.6503820163759,1.5,0.7092329329046623,111.14704971089569,1.0,0.8992185413882817,202.90360364542846,1.5,0.40319488757693356,4.5,2.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,4.0,0.0,3.0,1.0,3.0,0.0,6.0,0.0,2.0,9.0,2.0,0.0,1,scenario option 70,dikesnet
572,48.0,218.7623381803774,1.0,0.6522158982303098,269.297375617185,1.5,0.18928306057757624,326.21503584870845,1.5,0.41508738795464,330.53120656744363,10,0.759156046892157,162.82182736289883,10,0.7244964804922107,3.5,1.5,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,4.0,0.0,3.0,1.0,3.0,0.0,6.0,0.0,2.0,9.0,2.0,0.0,2,scenario option 70,dikesnet
573,26.0,95.85474637274275,1.0,0.8781135699489123,307.2708521705558,1.0,0.5923496540804559,263.5705054061035,1.0,0.9027403787596238,251.17820965934416,1.0,0.48897533329785664,93.37925573655819,1.0,0.5010505926515456,4.5,4.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,4.0,0.0,3.0,1.0,3.0,0.0,6.0,0.0,2.0,9.0,2.0,0.0,3,scenario option 70,dikesnet
574,127.0,308.54461194621825,10,0.5886201767936989,138.150197413262,10,0.49510150210955484,288.20443557302457,10,0.297422864628657,270.2737720965039,1.0,0.5920029140494785,323.1713280388075,1.5,0.30263440389642937,3.5,2.5,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,4.0,0.0,3.0,1.0,3.0,0.0,6.0,0.0,2.0,9.0,2.0,0.0,4,scenario option 70,dikesnet
575,1.0,280.97083432073185,1.0,0.7029628392119958,180.9845865026707,1.0,0.9320940856876896,208.89398369992645,1.0,0.5277511969382651,213.36096880444506,10,0.20479983255295642,39.33040491396355,10,0.9873860745984976,2.5,3.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,4.0,0.0,3.0,1.0,3.0,0.0,6.0,0.0,2.0,9.0,2.0,0.0,5,scenario option 70,dikesnet
576,71.0,80.86960220403219,10,0.3416151317310147,201.67096100507797,1.5,0.6712917789446664,142.54980570548514,1.0,0.8069024932521276,49.66073405964575,1.5,0.019106104197081964,308.7442928195328,1.0,0.24502874549709028,2.5,2.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,4.0,0.0,3.0,1.0,3.0,0.0,6.0,0.0,2.0,9.0,2.0,0.0,6,scenario option 70,dikesnet
577,27.0,42.45550964650279,1.5,0.05848968052978594,230.96493964175906,1.0,0.380375200776656,121.05763339630161,10,0.011512518421999763,77.58197936309966,10,0.10589221892431849,148.63262944624358,1.5,0.887732766658577,1.5,1.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,4.0,0.0,3.0,1.0,3.0,0.0,6.0,0.0,2.0,9.0,2.0,0.0,7,scenario option 70,dikesnet
578,90.0,344.2005818019836,1.5,0.2968798007827563,89.92326836422632,10,0.270745762854196,68.9774537236129,1.0,0.37363775334758903,144.79143869188255,1.5,0.3991603247457853,101.12054714664035,10,0.1384263029375761,1.5,3.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,4.0,0.0,3.0,1.0,3.0,0.0,6.0,0.0,2.0,9.0,2.0,0.0,8,scenario option 70,dikesnet
579,96.0,173.04409241940965,10,0.43366482959563973,124.94281519285032,1.0,0.7501254020474422,47.61656403960108,1.5,0.6681068515859431,304.15136670310073,1.5,0.9644891724316426,283.6061228173564,1.0,0.6586821919813266,2.5,4.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,4.0,0.0,3.0,1.0,3.0,0.0,6.0,0.0,2.0,9.0,2.0,0.0,9,scenario option 70,dikesnet
580,118.0,240.18983859440863,1.5,0.13626224090192765,339.91676988773764,10,0.8387535221750341,235.41177132428086,10,0.15971465006443422,171.59751647501477,1.5,0.6099163017566495,238.37921205326637,1.0,0.043854997674478396,4.5,4.5,3.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,7.0,0,scenario option 71,dikesnet
581,58.0,133.23252102633828,1.0,0.9440689340190389,54.57903688402351,10,0.07083064837904517,167.6503820163759,1.5,0.7092329329046623,111.14704971089569,1.0,0.8992185413882817,202.90360364542846,1.5,0.40319488757693356,4.5,2.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,7.0,1,scenario option 71,dikesnet
582,48.0,218.7623381803774,1.0,0.6522158982303098,269.297375617185,1.5,0.18928306057757624,326.21503584870845,1.5,0.41508738795464,330.53120656744363,10,0.759156046892157,162.82182736289883,10,0.7244964804922107,3.5,1.5,3.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,7.0,2,scenario option 71,dikesnet
583,26.0,95.85474637274275,1.0,0.8781135699489123,307.2708521705558,1.0,0.5923496540804559,263.5705054061035,1.0,0.9027403787596238,251.17820965934416,1.0,0.48897533329785664,93.37925573655819,1.0,0.5010505926515456,4.5,4.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,7.0,3,scenario option 71,dikesnet
584,127.0,308.54461194621825,10,0.5886201767936989,138.150197413262,10,0.49510150210955484,288.20443557302457,10,0.297422864628657,270.2737720965039,1.0,0.5920029140494785,323.1713280388075,1.5,0.30263440389642937,3.5,2.5,3.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,7.0,4,scenario option 71,dikesnet
585,1.0,280.97083432073185,1.0,0.7029628392119958,180.9845865026707,1.0,0.9320940856876896,208.89398369992645,1.0,0.5277511969382651,213.36096880444506,10,0.20479983255295642,39.33040491396355,10,0.9873860745984976,2.5,3.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,7.0,5,scenario option 71,dikesnet
586,71.0,80.86960220403219,10,0.3416151317310147,201.67096100507797,1.5,0.6712917789446664,142.54980570548514,1.0,0.8069024932521276,49.66073405964575,1.5,0.019106104197081964,308.7442928195328,1.0,0.24502874549709028,2.5,2.5,2.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,7.0,6,scenario option 71,dikesnet
587,27.0,42.45550964650279,1.5,0.05848968052978594,230.96493964175906,1.0,0.380375200776656,121.05763339630161,10,0.011512518421999763,77.58197936309966,10,0.10589221892431849,148.63262944624358,1.5,0.887732766658577,1.5,1.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,7.0,7,scenario option 71,dikesnet
588,90.0,344.2005818019836,1.5,0.2968798007827563,89.92326836422632,10,0.270745762854196,68.9774537236129,1.0,0.37363775334758903,144.79143869188255,1.5,0.3991603247457853,101.12054714664035,10,0.1384263029375761,1.5,3.5,1.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,7.0,8,scenario option 71,dikesnet
589,96.0,173.04409241940965,10,0.43366482959563973,124.94281519285032,1.0,0.7501254020474422,47.61656403960108,1.5,0.6681068515859431,304.15136670310073,1.5,0.9644891724316426,283.6061228173564,1.0,0.6586821919813266,2.5,4.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,9.0,3.0,7.0,9,scenario option 71,dikesnet
590,118.0,240.18983859440863,1.5,0.13626224090192765,339.91676988773764,10,0.8387535221750341,235.41177132428086,10,0.15971465006443422,171.59751647501477,1.5,0.6099163017566495,238.37921205326637,1.0,0.043854997674478396,4.5,4.5,3.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,9.0,2.0,7.0,0,scenario option 72,dikesnet
591,58.0,133.23252102633828,1.0,0.9440689340190389,54.57903688402351,10,0.07083064837904517,167.6503820163759,1.5,0.7092329329046623,111.14704971089569,1.0,0.8992185413882817,202.90360364542846,1.5,0.40319488757693356,4.5,2.5,2.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,9.0,2.0,7.0,1,scenario option 72,dikesnet
592,48.0,218.7623381803774,1.0,0.6522158982303098,269.297375617185,1.5,0.18928306057757624,326.21503584870845,1.5,0.41508738795464,330.53120656744363,10,0.759156046892157,162.82182736289883,10,0.7244964804922107,3.5,1.5,3.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,9.0,2.0,7.0,2,scenario option 72,dikesnet
593,26.0,95.85474637274275,1.0,0.8781135699489123,307.2708521705558,1.0,0.5923496540804559,263.5705054061035,1.0,0.9027403787596238,251.17820965934416,1.0,0.48897533329785664,93.37925573655819,1.0,0.5010505926515456,4.5,4.5,2.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,9.0,2.0,7.0,3,scenario option 72,dikesnet
594,127.0,308.54461194621825,10,0.5886201767936989,138.150197413262,10,0.49510150210955484,288.20443557302457,10,0.297422864628657,270.2737720965039,1.0,0.5920029140494785,323.1713280388075,1.5,0.30263440389642937,3.5,2.5,3.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,9.0,2.0,7.0,4,scenario option 72,dikesnet
595,1.0,280.97083432073185,1.0,0.7029628392119958,180.9845865026707,1.0,0.9320940856876896,208.89398369992645,1.0,0.5277511969382651,213.36096880444506,10,0.20479983255295642,39.33040491396355,10,0.9873860745984976,2.5,3.5,4.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,9.0,2.0,7.0,5,scenario option 72,dikesnet
596,71.0,80.86960220403219,10,0.3416151317310147,201.67096100507797,1.5,0.6712917789446664,142.54980570548514,1.0,0.8069024932521276,49.66073405964575,1.5,0.019106104197081964,308.7442928195328,1.0,0.24502874549709028,2.5,2.5,2.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,9.0,2.0,7.0,6,scenario option 72,dikesnet
597,27.0,42.45550964650279,1.5,0.05848968052978594,230.96493964175906,1.0,0.380375200776656,121.05763339630161,10,0.011512518421999763,77.58197936309966,10,0.10589221892431849,148.63262944624358,1.5,0.887732766658577,1.5,1.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,9.0,2.0,7.0,7,scenario option 72,dikesnet
598,90.0,344.2005818019836,1.5,0.2968798007827563,89.92326836422632,10,0.270745762854196,68.9774537236129,1.0,0.37363775334758903,144.79143869188255,1.5,0.3991603247457853,101.12054714664035,10,0.1384263029375761,1.5,3.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,9.0,2.0,7.0,8,scenario option 72,dikesnet
599,96.0,173.04409241940965,10,0.43366482959563973,124.94281519285032,1.0,0.7501254020474422,47.61656403960108,1.5,0.6681068515859431,304.15136670310073,1.5,0.9644891724316426,283.6061228173564,1.0,0.6586821919813266,2.5,4.5,4.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,9.0,2.0,7.0,9,scenario option 72,dikesnet
600,118.0,240.18983859440863,1.5,0.13626224090192765,339.91676988773764,10,0.8387535221750341,235.41177132428086,10,0.15971465006443422,171.59751647501477,1.5,0.6099163017566495,238.37921205326637,1.0,0.043854997674478396,4.5,4.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,6.0,6.0,3.0,0,scenario option 74,dikesnet
601,58.0,133.23252102633828,1.0,0.9440689340190389,54.57903688402351,10,0.07083064837904517,167.6503820163759,1.5,0.7092329329046623,111.14704971089569,1.0,0.8992185413882817,202.90360364542846,1.5,0.40319488757693356,4.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,6.0,6.0,3.0,1,scenario option 74,dikesnet
602,48.0,218.7623381803774,1.0,0.6522158982303098,269.297375617185,1.5,0.18928306057757624,326.21503584870845,1.5,0.41508738795464,330.53120656744363,10,0.759156046892157,162.82182736289883,10,0.7244964804922107,3.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,6.0,6.0,3.0,2,scenario option 74,dikesnet
603,26.0,95.85474637274275,1.0,0.8781135699489123,307.2708521705558,1.0,0.5923496540804559,263.5705054061035,1.0,0.9027403787596238,251.17820965934416,1.0,0.48897533329785664,93.37925573655819,1.0,0.5010505926515456,4.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,6.0,6.0,3.0,3,scenario option 74,dikesnet
604,127.0,308.54461194621825,10,0.5886201767936989,138.150197413262,10,0.49510150210955484,288.20443557302457,10,0.297422864628657,270.2737720965039,1.0,0.5920029140494785,323.1713280388075,1.5,0.30263440389642937,3.5,2.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,6.0,6.0,3.0,4,scenario option 74,dikesnet
605,1.0,280.97083432073185,1.0,0.7029628392119958,180.9845865026707,1.0,0.9320940856876896,208.89398369992645,1.0,0.5277511969382651,213.36096880444506,10,0.20479983255295642,39.33040491396355,10,0.9873860745984976,2.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,6.0,6.0,3.0,5,scenario option 74,dikesnet
606,71.0,80.86960220403219,10,0.3416151317310147,201.67096100507797,1.5,0.6712917789446664,142.54980570548514,1.0,0.8069024932521276,49.66073405964575,1.5,0.019106104197081964,308.7442928195328,1.0,0.24502874549709028,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,6.0,6.0,3.0,6,scenario option 74,dikesnet
607,27.0,42.45550964650279,1.5,0.05848968052978594,230.96493964175906,1.0,0.380375200776656,121.05763339630161,10,0.011512518421999763,77.58197936309966,10,0.10589221892431849,148.63262944624358,1.5,0.887732766658577,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,6.0,6.0,3.0,7,scenario option 74,dikesnet
608,90.0,344.2005818019836,1.5,0.2968798007827563,89.92326836422632,10,0.270745762854196,68.9774537236129,1.0,0.37363775334758903,144.79143869188255,1.5,0.3991603247457853,101.12054714664035,10,0.1384263029375761,1.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,6.0,6.0,3.0,8,scenario option 74,dikesnet
609,96.0,173.04409241940965,10,0.43366482959563973,124.94281519285032,1.0,0.7501254020474422,47.61656403960108,1.5,0.6681068515859431,304.15136670310073,1.5,0.9644891724316426,283.6061228173564,1.0,0.6586821919813266,2.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,3.0,0.0,6.0,6.0,3.0,9,scenario option 74,dikesnet
